 Run_No.   Original_ID Tr     Solution     Inbr_%                                                                        
     193        816030  1   -33.740929        0.000    
     193        816030  2   -22.211976        0.000    
     193        816030  3    9.1768812        0.000    
     194        816031  1   -56.773837        0.000    
     194        816031  2   -9.3966166        0.000    
     194        816031  3    5.7032779        0.000    
     195        816032  1   -22.275203        0.000    
     195        816032  2    5.2165550        0.000    
     195        816032  3  -0.86090993        0.000    
     196        816034  1    16.025296        0.000    
     196        816034  2    7.7640978        0.000    
     196        816034  3   -3.3890128        0.000    
     197        816038  1   -6.8463145        0.000    
     197        816038  2   -8.4142669        0.000    
     197        816038  3    3.2218742        0.000    
     198        816039  1  -0.82253438        0.000    
     198        816039  2    3.5075675        0.000    
     198        816039  3   -1.1856854        0.000    
     199        816040  1    24.933512        0.000    
     199        816040  2   0.58744880        0.000    
     199        816040  3   -1.2729862        0.000    
     200        816042  1    18.870299        0.000    
     200        816042  2    10.156401        0.000    
     200        816042  3   -4.3428451        0.000    
     201        816043  1   -60.190617        0.000    
     201        816043  2   -2.0373567        0.000    
     201        816043  3    3.2883460        0.000    
     202        816044  1    93.270608        0.000    
     202        816044  2    5.6418181        0.000    
     202        816044  3   -5.9604052        0.000    
     203        816049  1    58.093284        0.000    
     203        816049  2    4.7745854        0.000    
     203        816049  3   -4.1511551        0.000    
     204        816050  1    27.847004        0.000    
     204        816050  2  -0.62308034        0.000    
     204        816050  3  -0.97615651        0.000    
     205        816053  1   -50.996611        0.000    
     205        816053  2    3.4991323        0.000    
     205        816053  3   0.96742904        0.000    
     206        816058  1    13.211620        0.000    
     206        816058  2    24.405196        0.000    
     206        816058  3   -9.0605696        0.000    
     207        816060  1   -7.9065417        0.000    
     207        816060  2   0.38655826E-001   0.000    
     207        816060  3   0.32509976        0.000    
     208        816062  1   -35.422303        0.000    
     208        816062  2   -12.343533        0.000    
     208        816062  3    5.8143840        0.000    
     209        816066  1   -74.244688        0.000    
     209        816066  2   -4.7200046        0.000    
     209        816066  3    4.8242281        0.000    
     210        816068  1   -33.985520        0.000    
     210        816068  2   -15.316448        0.000    
     210        816068  3    6.7872383        0.000    
     211        816070  1   -15.913935        0.000    
     211        816070  2   -7.8699565        0.000    
     211        816070  3    3.4208842        0.000    
     212        816071  1    17.664628        0.000    
     212        816071  2   -2.4964648        0.000    
     212        816071  3   0.11195749        0.000    
     213        816072  1    27.397423        0.000    
     213        816072  2   -4.6694070        0.000    
     213        816072  3   0.45116135        0.000    
     214        816080  1  -0.51190648        0.000    
     214        816080  2    6.0941424        0.000    
     214        816080  3   -2.0991410        0.000    
     215        816086  1    23.307488        0.000    
     215        816086  2    4.9882928        0.000    
     215        816086  3   -2.7350722        0.000    
     216        816092  1   -42.469033        0.000    
     216        816092  2   -2.2890931        0.000    
     216        816092  3    2.6168900        0.000    
     217        816094  1   -32.798931        0.000    
     217        816094  2   -8.6290389        0.000    
     217        816094  3    4.4087137        0.000    
     218        816098  1    10.991877        0.000    
     218        816098  2   -2.4938253        0.000    
     218        816098  3   0.39696957        0.000    
     219        816114  1   -26.068925        0.000    
     219        816114  2   -19.137148        0.000    
     219        816114  3    7.7776274        0.000    
     220        816116  1   -22.709279        0.000    
     220        816116  2    9.6419686        0.000    
     220        816116  3   -2.3829260        0.000    
     221        816120  1   -6.2765135        0.000    
     221        816120  2    1.5696091        0.000    
     221        816120  3  -0.27740983        0.000    
     222        816122  1   -70.858495        0.000    
     222        816122  2   -22.359575        0.000    
     222        816122  3    10.818638        0.000    
     223        816126  1    65.458392        0.000    
     223        816126  2    4.7702749        0.000    
     223        816126  3   -4.4654819        0.000    
     224        816136  1   -41.069343        0.000    
     224        816136  2   -18.636164        0.000    
     224        816136  3    8.2462287        0.000    
     225        816140  1   -57.667949        0.000    
     225        816140  2   -2.6425698        0.000    
