ID BV
821670 1407.030150705
821674 -1237.333860423
821676 -198.84042912
821678 -742.727268744
821686 432.6274200525
821696 161.9619413154
821702 -139.5178358856
821704 528.730926243
821720 848.378491692
821726 507.386096553
821728 684.948115005
821736 340.223740827
